orden,division,grupo,clase,subclase,producto,descripcion,ponderacion,etiqueta,nivel
514,9,094,0947,,,Juegos de azar,0.011013,Juegos de azar,clase
515,9,094,0947,09470,,Juegos de azar,0.011013,Juegos de azar,subclase
516,9,094,0947,09470,09470000,Juegos de azar,0.011013,Juegos de azar,producto
517,9,096,,,,Servicios culturales,0.000884,Servicios culturales,grupo
518,9,096,0961,,,"Cines, teatros, conciertos",0.000884,"Cines, teatros, conciertos",clase
519,9,096,0961,09610,,"Cines, teatros, conciertos",0.000884,"Cines, teatros, conciertos",subclase
520,9,096,0961,09610,09610001,Entrada al cine,0.000884,Entrada al cine,producto
521,9,097,,,,"Periódicos, libros y papelería",0.005941,"Periódicos, libros y papelería",grupo
522,9,097,0971,,,Libros,0.002544,Libros,clase
523,9,097,0971,09711,,Libros educativos o de texto,0.001342,Libros educativos o de texto,subclase
524,9,097,0971,09711,09711001,Libros de enseñanza,0.000741,Libros de enseñanza,producto
525,9,097,0971,09711,09711002,Textos universitarios y de formación profesional,0.000601,Textos unive. y de form. profe.,producto
526,9,097,0971,09712,,Otros libros,0.001202,Otros libros,subclase
527,9,097,0971,09712,09712001,"Novelas, ensayos, cuentos, en papel, libros infantiles",0.001202,"Novelas, ensayos, cuentos, en papel…",producto
528,9,097,0972,,,Periódicos y publicaciones periódicas,0.000965,Periódicos y publicaciones periódicas,clase
529,9,097,0972,09721,,"Periódicos,  diarios",0.000965,"Periódicos,  diarios",subclase
530,9,097,0972,09721,09721000,"Suscripción a periódicos, semanarios",0.000965,"Suscripción a periódicos, semanarios",producto
531,9,097,0974,,,Material de papelería y dibujo,0.002432,Material de papelería y dibujo,clase
532,9,097,0974,09740,,Material de papelería y dibujo,0.002432,Material de papelería y dibujo,subclase
533,9,097,0974,09740,09740001,"Lápices, lapiceras",0.000993,"Lápices, lapiceras",producto
534,9,097,0974,09740,09740002,"Cuadernos, cuadernolas",0.001061,"Cuadernos, cuadernolas",producto
535,9,097,0974,09740,09740003,Hoja para impresora,0.000378,Hoja para impresora,producto
536,9,098,,,,Paquetes de vacaciones,0.012155,Paquetes de vacaciones,grupo
537,9,098,0980,,,Paquetes de vacaciones,0.012155,Paquetes de vacaciones,clase
538,9,098,0980,09800,,Paquetes de vacaciones,0.012155,Paquetes de vacaciones,subclase
539,9,098,0980,09800,09800002,Paquetes turísticos al exterior,0.012155,Paquetes turísticos al exterior,producto
540,10,,,,,SERVICIOS DE EDUCACIÓN,0.034638,Educación,division
541,10,101,,,,Educación de la primera infancia y primaria,0.015088,Educ. de la primera infa. y prim.,grupo
542,10,101,1010,,,Educación de la primera infancia y primaria,0.015088,Educ. de la primera infa. y prim.,clase
543,10,101,1010,10101,,Educación de la primera infancia,0.005432,Educación de la primera infancia,subclase
544,10,101,1010,10101,10101000,Enseñanza preescolar,0.005432,Enseñanza preescolar,producto
545,10,101,1010,10102,,Educación primaria,0.009656,Educación primaria,subclase
546,10,101,1010,10102,10102000,Enseñanza primaria,0.009656,Enseñanza primaria,producto
547,10,102,,,,Educación secundaria,0.008973,Educación secundaria,grupo
548,10,102,1020,,,Educación secundaria,0.008973,Educación secundaria,clase
549,10,102,1020,10200,,Educación secundaria,0.008973,Educación secundaria,subclase
550,10,102,1020,10200,10200000,Enseñanza secundaria,0.008973,Enseñanza secundaria,producto
551,10,104,,,,Educación terciaria,0.003591,Educación terciaria,grupo
552,10,104,1040,,,Educación terciaria,0.003591,Educación terciaria,clase
553,10,104,1040,10400,,Educación terciaria,0.003591,Educación terciaria,subclase
554,10,104,1040,10400,10400000,"Enseñanza terciaria, enseñanza universitaria",0.003591,"Ense. terc., ense. unive.",producto
555,10,105,,,,Educación no definida por nivel,0.006986,Educación no definida por nivel,grupo
556,10,105,1050,,,Educación no definida por nivel,0.006986,Educación no definida por nivel,clase
